# schema	function	args	returns	volatility	security_definer	body_sha256
public	gin_compare_prefix_timestamptz	timestamp with time zone, timestamp with time zone, smallint, internal	integer	i	f	b5c924e947fadcc1475d9f24a51e9cc20b2224c8260335a6779db3e0b0b504ff
public	gin_compare_prefix_timetz	time with time zone, time with time zone, smallint, internal	integer	i	f	41afe06595b67c0668250178bb3390f7b30b7fc9bec36f83a4f58852f9732e97
public	gin_compare_prefix_uuid	uuid, uuid, smallint, internal	integer	i	f	6467021cfdaf5ed0c2069f8e95c86cf9a422725fcba2c648d32fcad69e3e14a1
public	gin_compare_prefix_varbit	bit varying, bit varying, smallint, internal	integer	i	f	a6cbd13d75694594aa2d1f01ac0fdb130ae44694c1350a74af99d87458fca0b9
public	gin_enum_cmp	anyenum, anyenum	integer	i	f	404a1451b7d31124d0ad98364931ecaaa51ce4daf25ceb58e516d6179adb266b
public	gin_extract_query_anyenum	anyenum, internal, smallint, internal, internal	internal	i	f	1f8c2683f2983383f8c1bbb4d7e6955edd13cad2354f21574d5253f152b9db3f
public	gin_extract_query_bit	bit, internal, smallint, internal, internal	internal	i	f	2d48e5580ba82efadf90eaa201ae37c7ac3ae25fe841b867954d4ade064479dc
public	gin_extract_query_bool	boolean, internal, smallint, internal, internal	internal	i	f	781084d05575d6d60db9b4a014e8f383ca93a0f936be7e1fdbe0cdac9856b72b
public	gin_extract_query_bpchar	character, internal, smallint, internal, internal	internal	i	f	23bb8b8c7e4fa214e6003f7293938b945b8ece46e914f6262b0e15b324a78adb
public	gin_extract_query_bytea	bytea, internal, smallint, internal, internal	internal	i	f	661df7573970ef73b89bb2c77d6c552f02f3fbae0b367ced78036611050caff8
public	gin_extract_query_char	"char", internal, smallint, internal, internal	internal	i	f	c932e389ce74119346a4a227b10b2bd873ee925012e2242ac682079fef2d3142
public	gin_extract_query_cidr	cidr, internal, smallint, internal, internal	internal	i	f	d0523b025eac964a4a0393aecb0cd1a3a09bd07d66860e4e1b04613a4419e62d
public	gin_extract_query_date	date, internal, smallint, internal, internal	internal	i	f	043c5e9f89be65b86fd7a8226894f1edf5ff43eb83561ba05fe652108c01f05a
public	gin_extract_query_float4	real, internal, smallint, internal, internal	internal	i	f	3be8d713fb5e90a8c21c148b84f8dbea75cb05202131ee7426c5571ee258b6b8
public	gin_extract_query_float8	double precision, internal, smallint, internal, internal	internal	i	f	93ccf80b0b598f0d9daae1f1635a4b900ca8343cd8ebc5b31bd2fff5fcea68e3
public	gin_extract_query_inet	inet, internal, smallint, internal, internal	internal	i	f	73725a068d31f62a28ca039df40d7e58d0de701ebad46a7f6e36db3fcd95f177
public	gin_extract_query_int2	smallint, internal, smallint, internal, internal	internal	i	f	23237690c93f07bea8fe45c9e39c1a3b2c0c2a20d53b4ea4b6ab9f70cdf28a75
public	gin_extract_query_int4	integer, internal, smallint, internal, internal	internal	i	f	9e2f462de3a347a0db0e3541034547c31e71b37cb37d3b6c897ce451d2e312a1
public	gin_extract_query_int8	bigint, internal, smallint, internal, internal	internal	i	f	82910485566151c53bef80fd29034cad8f4b788286f44d5637680a870a4e79e9
public	gin_extract_query_interval	interval, internal, smallint, internal, internal	internal	i	f	070a75818af2aad8abacce1d012048526b7dd79d4773d2cc6d24fc51a2f69f52
public	gin_extract_query_macaddr	macaddr, internal, smallint, internal, internal	internal	i	f	125dbe1db8325baca39d2debfb1fc71ef59c928cda4f1228e6d89876acd4e32b
public	gin_extract_query_macaddr8	macaddr8, internal, smallint, internal, internal	internal	i	f	75e2640fd40447775ff3f54e478631936293c2c189c1f3f6de0b98728506e988
public	gin_extract_query_money	money, internal, smallint, internal, internal	internal	i	f	1cf7815340fe8e94dd3f0a9257af675cdeaaa385355d88029c6c5756b0a2b7eb
public	gin_extract_query_name	name, internal, smallint, internal, internal	internal	i	f	614189d7664cb4cce1c673684c3d4f03761a3435e729ff3a3ff1dd80202e7f5f
