# table	grantee	privileges
firm_holidays	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_holidays	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_job_levels	anon	REFERENCES,TRIGGER,TRUNCATE
firm_job_levels	app_user	DELETE,INSERT,SELECT,UPDATE
firm_job_levels	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_job_levels	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_job_levels	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_job_titles	anon	REFERENCES,TRIGGER,TRUNCATE
firm_job_titles	app_user	DELETE,INSERT,SELECT,UPDATE
firm_job_titles	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_job_titles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_job_titles	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_locations	anon	REFERENCES,TRIGGER,TRUNCATE
firm_locations	app_user	DELETE,INSERT,SELECT,UPDATE
firm_locations	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_locations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_locations	service_role	REFERENCES,TRIGGER,TRUNCATE
firm_payroll_policies	anon	REFERENCES,TRIGGER,TRUNCATE
firm_payroll_policies	app_user	DELETE,INSERT,SELECT,UPDATE
firm_payroll_policies	authenticated	REFERENCES,TRIGGER,TRUNCATE
firm_payroll_policies	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_payroll_policies	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_attendance	anon	REFERENCES,TRIGGER,TRUNCATE
hr_attendance	app_user	DELETE,INSERT,SELECT,UPDATE
hr_attendance	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_attendance	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_attendance	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_benefits_enrollments	anon	REFERENCES,TRIGGER,TRUNCATE
hr_benefits_enrollments	app_user	DELETE,INSERT,SELECT,UPDATE
hr_benefits_enrollments	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_benefits_enrollments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_benefits_enrollments	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_change_requests	anon	REFERENCES,TRIGGER,TRUNCATE
hr_change_requests	app_user	DELETE,INSERT,SELECT,UPDATE
hr_change_requests	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_change_requests	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_change_requests	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_company_news	anon	REFERENCES,TRIGGER,TRUNCATE
hr_company_news	app_user	DELETE,INSERT,SELECT,UPDATE
hr_company_news	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_company_news	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_company_news	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_emergency_contacts	anon	REFERENCES,TRIGGER,TRUNCATE
hr_emergency_contacts	app_user	DELETE,INSERT,SELECT,UPDATE
