# table	constraint	type	definition
employees	employees_tenant_id_employee_id_key	u	UNIQUE (tenant_id, employee_id)
employees	employees_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
employment_terms	employment_terms_contract_type_check	c	CHECK ((contract_type = ANY (ARRAY['permanent'::text, 'fixed_term'::text, 'probationary'::text, 'casual'::text, 'apprenticeship'::text])))
employment_terms	employment_terms_pkey	p	PRIMARY KEY (id)
employment_terms	employment_terms_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id)
employment_terms	fk_employment_terms_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
exchange_rates	exchange_rates_pkey	p	PRIMARY KEY (id)
expenses	expenses_pkey	p	PRIMARY KEY (id)
expenses	expenses_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
expenses	fk_expenses_bill_id	f	FOREIGN KEY (bill_id) REFERENCES bills(id)
expenses	fk_expenses_category_account_id	f	FOREIGN KEY (category_account_id) REFERENCES chart_of_accounts(id)
expenses	fk_expenses_department_id	f	FOREIGN KEY (department_id) REFERENCES firm_departments(id)
expenses	fk_expenses_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
expenses	fk_expenses_journal_entry_id	f	FOREIGN KEY (journal_entry_id) REFERENCES journal_entries(id)
expenses	fk_expenses_payment_id	f	FOREIGN KEY (payment_id) REFERENCES payments(id)
expenses	fk_expenses_vendor_id	f	FOREIGN KEY (vendor_id) REFERENCES vendors(id)
firm_benefit_items	firm_benefit_items_pkey	p	PRIMARY KEY (id)
firm_benefit_items	firm_benefit_items_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_benefit_items	fk_firm_benefit_items_benefits_package_id	f	FOREIGN KEY (benefits_package_id) REFERENCES firm_benefits_packages(id) ON DELETE CASCADE
firm_benefits_packages	firm_benefits_packages_pkey	p	PRIMARY KEY (id)
firm_benefits_packages	firm_benefits_packages_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_benefits_plans	firm_benefits_plans_pkey	p	PRIMARY KEY (id)
firm_benefits_plans	firm_benefits_plans_plan_type_check	c	CHECK ((plan_type = ANY (ARRAY['health_medical'::text, 'health_dental'::text, 'health_vision'::text, 'life_insurance'::text, 'disability_short_term'::text, 'disability_long_term'::text, 'retirement_401k'::text, 'retirement_pension'::text, 'hsa'::text, 'fsa_healthcare'::text, 'fsa_dependent_care'::text, 'supplemental_accident'::text, 'supplemental_critical_illness'::text, 'supplemental_hospital'::text, 'pet_insurance'::text, 'legal_services'::text, 'employee_assistance'::text, 'other'::text])))
firm_benefits_plans	firm_benefits_plans_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
firm_departments	firm_departments_pkey	p	PRIMARY KEY (id)
firm_departments	firm_departments_tenant_id_department_code_key	u	UNIQUE (tenant_id, department_code)
