# table	policy	command	roles	using	with_check
journal_entries	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
journal_entries	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
journal_entries	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
journal_entries	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
journal_entries	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
journal_entry_lines	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
journal_entry_lines	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
journal_entry_lines	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
journal_entry_lines	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
journal_entry_lines	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payment_allocations	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
payment_allocations	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
payment_allocations	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
payment_allocations	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
payment_allocations	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payments	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
payments	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
payments	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
payments	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
payments	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_deduction_definitions	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_employee_deductions	payroll_delete	DELETE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	
payroll_employee_deductions	payroll_insert	INSERT	public		( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_employee_deductions	payroll_update	UPDATE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_employee_deductions	payroll_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
payroll_employee_deductions	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_india_salary_structure	payroll_delete	DELETE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	
payroll_india_salary_structure	payroll_insert	INSERT	public		( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_india_salary_structure	payroll_update	UPDATE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_india_salary_structure	payroll_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
payroll_india_salary_structure	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
payroll_india_tax_declarations	payroll_delete	DELETE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	
payroll_india_tax_declarations	payroll_insert	INSERT	public		( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
payroll_india_tax_declarations	payroll_update	UPDATE	public	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)	( SELECT app.writes_payroll_tier1() AS writes_payroll_tier1)
