# table	pos	column	type	not_null	default
compensation_premiums	20	updated_at	timestamp with time zone	t	now()
compensation_variable	1	id	uuid	t	gen_random_uuid()
compensation_variable	2	tenant_id	uuid	t	
compensation_variable	3	employee_id	uuid	t	
compensation_variable	4	component_type	variable_comp_type	t	
compensation_variable	5	component_name	character varying(255)	f	
compensation_variable	6	description	text	f	
compensation_variable	7	effective_from	date	t	
compensation_variable	8	effective_to	date	f	
compensation_variable	9	target_amount	numeric(12,2)	f	
compensation_variable	10	currency	character varying(3)	t	'USD'::character varying
compensation_variable	11	commission_structure	jsonb	f	
compensation_variable	12	quota_structure	jsonb	f	
compensation_variable	13	payment_frequency	character varying(50)	f	
compensation_variable	14	next_payment_date	date	f	
compensation_variable	15	performance_metrics	jsonb	f	
compensation_variable	16	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_variable	17	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
compensation_variable	18	created_by	uuid	f	
compensation_variable	19	variable_comp_id	text	f	
compensation_variable	20	comp_type	text	t	
compensation_variable	21	comp_name	text	f	
compensation_variable	22	frequency	text	f	
compensation_variable	23	status	text	f	
compensation_work_schedules	1	id	uuid	t	gen_random_uuid()
compensation_work_schedules	2	tenant_id	uuid	t	
compensation_work_schedules	3	employee_id	uuid	t	
compensation_work_schedules	4	schedule_name	character varying(255)	f	
compensation_work_schedules	5	schedule_type	work_arrangement	t	'standard'::work_arrangement
compensation_work_schedules	6	effective_from	date	t	
compensation_work_schedules	7	effective_to	date	f	
compensation_work_schedules	8	standard_hours_per_week	numeric(5,2)	f	
compensation_work_schedules	9	weekly_schedule	jsonb	f	
compensation_work_schedules	10	core_hours	jsonb	f	
compensation_work_schedules	11	shift_pattern	jsonb	f	
compensation_work_schedules	12	break_policy	jsonb	f	
compensation_work_schedules	13	time_tracking_required	time_tracking_type	t	'hours_only'::time_tracking_type
compensation_work_schedules	14	timezone	character varying(100)	t	'America/New_York'::character varying
